stationName,stationCode,latitude,longitude,altitude,launchDate,url
Macajuba,A412,-12.131694,-40.354222,339,03/02/2003,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQxMg==
Macaúbas,A454,-13.0389,-42.6172,574,07/04/2016,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ1NA==
Maraú,A438,-13.90694,-38.97222,6,22/06/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQzOA==
PauloAfonso,A411,-9.378106,-38.226771,255,15/02/2003,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQxMQ==
Piatã,A430,-13.155681,-41.774125,1,284,03/05/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQzMA==
PilãoArcado,A449,-10.002261,-42.473641,400,01/04/2016,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ0OQ==
PortoSeguro,A427,-16.388977,-39.182389,86,10/07/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQyNw==
Queimadas,A436,-10.984645,-39.617009,310,23/05/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQzNg==
Remanso,A423,-9.625693,-42.077214,397,26/03/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQyMw==
Salvador,A401,-13.005515,-38.505760,48,13/05/2000,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQwMQ==
SantaRitadeCássia,A415,-11.002768,-44.524965,450,28/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQxNQ==
SenhordoBonfim,A428,-10.443072,-40.148244,532,27/03/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQyOA==
Serrinha,A441,-11.664586,-39.022946,338,09/05/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ0MQ==
Uauá,A435,-9.833617,-39.495631,451,20/05/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQzNQ==
Una,A437,-15.280215,-39.091270,74,25/06/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQzNw==
Valença,A444,-13.34361,-39.12667,93,29/06/2009,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ0NA==
VitóriadaConquista,A414,-14.886428,-40.801330,879,01/06/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQxNA==
Acaraú,A360,-3.121067,-40.087288,67,22/04/2009,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTM2MA==
Barbalha,A315,-7.300925,-39.271107,409,31/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMxNQ==
CamposSales,A347,-7.077730,-40.362678,578,07/03/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTM0Nw==
Crateús,A342,-5.186636,-40.672128,298,11/12/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTM0Mg==
Fortaleza,A305,-3.815701,-38.537792,30,18/02/2003,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMwNQ==
Guaramiranga,A314,-4.261351,-38.931068,866,26/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMxNA==
Iguatu,A319,-6.396375,-39.268954,222,30/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMxOQ==
Itapipoca,A359,-3.484298,-39.588715,104,05/09/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTM1OQ==
Jaguaribe,A358,-5.905589,-38.627792,149,10/09/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTM1OA==
Jaguaruana,A339,-4.853511,-37.777189,17,10/11/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMzOQ==
MoradaNova,A332,-5.136689,-38.356590,45,24/08/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMzMg==
Quixeramobim,A325,-5.174568,-39.289393,221,09/07/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMyNQ==
Sobral,A306,-3.748177,-40.345720,92,12/02/2003,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMwNg==
Tauá,A324,-6.017474,-40.281321,411,12/07/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMyNA==
ÁguasEmendadas,A045,-15.596491,-47.625801,1,030,02/10/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTA0NQ==
Brasília,A001,-15.789343,-47.925756,1,161,07/05/2000,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAwMQ==
Brazlândia,A042,-15.652894,-48.201369,1,143,19/07/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTA0Mg==
Paranoá(COOPA),A047,-16.012222,-47.557417,1,043,07/02/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTA0Nw==
AfonsoCláudio,A657,-20.104194,-41.106861,507,25/09/2011,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTY1Nw==
Alegre,A617,-20.750412,-41.488852,129,25/10/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYxNw==
AlfredoChaves,A615,-20.636526,-40.741818,14,02/11/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYxNQ==
Ecoporanga,A631,-18.291519,-40.736412,224,17/03/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYzMQ==
Linhares,A614,-19.356923,-40.068680,38,27/10/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYxNA==
Marilândia,A632,-19.407181,-40.539825,95,20/03/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYzMg==
NovaVenécia,A623,-18.695265,-40.390572,156,23/06/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYyMw==
PresidenteKennedy,A622,-21.100805,-41.039395,69,18/06/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYyMg==
SantaTeresa,A613,-19.988388,-40.579572,976,09/08/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYxMw==
SãoMateus,A616,-18.676198,-39.864051,29,25/10/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYxNg==
VendaNovadoImigrante,A633,-20.385423,-41.1899342,722,11/02/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYzMw==
VilaVelha,A634,-20.467069,-40.404051,25,15/02/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYzNA==
Vitória,A612,-20.271094,-40.306069,9,31/10/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTYxMg==
AltoParaísodeGoiás,A024,-14.133074,-47.523258,1,265,02/06/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAyNA==
Aragarças,A013,-15.902658,-52.245172,327,13/07/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAxMw==
Caiapônia,A023,-16.966841,-51.817567,740,21/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAyMw==
Catalão,A034,-18.154779,-47.927614,901,31/01/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAzNA==
Cristalina,A036,-16.784896,-47.612966,1,211,13/12/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAzNg==
Edéia,A029,-17.337001,-49.914778,610,26/08/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAyOQ==
Gama(PonteAlta),A046,-15.935139,-48.137377,990,01/10/2014,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTA0Ng==
Goianésia,A022,-15.220199,-48.990107,667,02/06/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAyMg==
Goiânia,A002,-16.642841,-49.220222,727,30/05/2001,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAwMg==
Goiás,A014,-15.939729,-50.141433,513,16/07/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAxNA==
Iporá,A028,-16.423059,-51.148801,610,24/06/2013,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAyOA==
Itapaci,A015,-14.979792,-49.539977,551,03/02/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAxNQ==
Itumbiara,A035,-18.409761,-49.192061,491,02/11/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAzNQ==
Jataí,A016,-17.923622,-51.717467,670,24/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAxNg==
Luziânia,A012,-16.260542,-47.966962,1,001,21/10/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAxMg==
MonteAlegredeGoiás,A032,-13.253521,-46.890326,551,06/06/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAzMg==
Morrinhos,A003,-17.745066,-49.101698,751,30/05/2001,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAwMw==
Niquelândia,A004,-14.469358,-48.485756,664,01/06/2001,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAwNA==
Paraúna,A027,-16.962536,-50.425450,679,30/03/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAyNw==
PiresdoRio,A033,-17.304153,-48.284131,757,12/10/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAzMw==
Posse,A017,-14.089210,-46.366497,830,18/04/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAxNw==
RioVerde,A025,-17.785303,-50.964869,780,17/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAyNQ==
SãoMigueldoAraguaia,A031,-12.820489,-50.335969,210,30/06/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAzMQ==
SãoSimão,A011,-18.969142,-50.633449,492,14/07/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAxMQ==
Silvânia,A037,-16.679786,-48.618171,952,08/10/2010,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTAzNw==
AltoParnaíba,A223,-9.108199,-45.932016,284,03/06/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIyMw==
Bacabal,A220,-4.243056,-44.794993,22,09/07/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIyMA==
Balsas,A204,-7.455609,-46.027546,271,26/10/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIwNA==
BarradoCorda,A221,-5.506782,-45.237053,154,06/03/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIyMQ==
Buriticupu,A238,-4.320597,-46.449503,175,11/09/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIzOA==
Carolina,A205,-7.337269,-47.459839,183,04/12/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIwNQ==
Caxias,A237,-4.821352,-43.343659,85,13/07/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIzNw==
Chapadinha,A206,-3.742674,-43.352084,104,17/09/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIwNg==
Colinas,A222,-6.033167,-44.233402,175,03/06/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIyMg==
Estreito,A224,-6.653272,-47.418241,183,27/02/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIyNA==
FarolPreguiças,A218,-2.592341,-42.707553,5,22/11/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIxOA==
FarolSantana,A217,-2.270811,-43.624043,10,28/11/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIxNw==
Grajaú,A207,-5.816085,-46.162200,232,10/09/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIwNw==
Imperatriz,A225,-5.555723,-47.459794,118,01/03/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIyNQ==
SãoLuís,A203,-2.526771,-44.213577,55,29/01/2003,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIwMw==
Turiaçu,A219,-1.661224,-45.372571,36,10/06/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTIxOQ==
ÁguasVermelhas,A549,-15.751536,-41.457787,754,09/09/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU0OQ==
Aimorés,A534,-19.532768,-41.090801,288,05/08/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUzNA==
Almenara,A508,-16.166773,-40.687756,189,09/12/2002,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUwOA==
Araçuaí,A566,-16.848806,-42.035361,308,21/05/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU2Ng==
Araxá,A505,-19.605696,-46.949617,1,018,19/12/2002,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUwNQ==
Bambuí,A565,-20.031111,-46.008811,697,22/11/2016,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU2NQ==
Barbacena,A502,-21.228373,-43.767703,1,169,05/12/2002,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUwMg==
BeloHorizonte,A521,-19.883945,-43.969397,854,10/10/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUyMQ==
Buritis,A544,-15.524262,-46.435536,894,19/06/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU0NA==
Caldas,A530,-21.918066,-46.382996,1,077,28/11/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUzMA==
CampinaVerde,A519,-19.539210,-49.518133,559,14/07/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUxOQ==
Capelinha,A541,-17.705504,-42.389256,932,02/09/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU0MQ==
Caratinga,A554,-19.735757,-42.137146,609,23/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU1NA==
ChapadaGaúcha,A548,-15.300159,-45.617431,873,22/06/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU0OA==
ConceiçãodasAlagoas,A520,-19.985860,-48.151574,573,16/07/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUyMA==
CoronelPacheco,A557,-21.546728,-43.261029,411,17/10/2012,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU1Nw==
Curvelo,A538,-18.747711,-44.453785,669,19/12/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUzOA==
Diamantina,A537,-18.231052,-43.648269,1,359,05/06/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUzNw==
Divinópolis,A564,-20.173278,-44.874944,796,26/10/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU2NA==
DoresdoIndaiá,A536,-19.481935,-45.593932,721,01/06/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUzNg==
Espinosa,A543,-14.912284,-42.808473,565,14/11/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU0Mw==
Florestal,A535,-19.885398,-44.416883,754,27/06/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUzNQ==
Formiga,A524,-20.454930,-45.453825,878,17/08/2006,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUyNA==
GovernadorValadares,A532,-18.830354,-41.977007,198,29/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUzMg==
Guanhães,A533,-18.786842,-42.942921,853,02/06/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTUzMw==
Guarda,A546,-17.561349,-47.199251,997,11/07/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU0Ng==
Ibirité(RolaMoça),A555,-20.031457,-44.011249,1,199,07/06/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU1NQ==
Itaobim,A550,-16.575667,-41.485588,272,05/09/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTU1MA==
